,producto,supermercado,precio_minimo,precio_maximo
97,"Leche Bruma Protectora Spf50 Broncea+ Ecran Sunnique 250 Ml.
",carrefour,15.29,15.29
98,"Leche Con Avena Asturiana, Brik 1 Litro",eroski,1.99,1.99
99,"Leche Condensada Carrefour 450 G.
",carrefour,2.85,2.85
100,"Leche Condensada De Coco Ecológica Naturgreen 210 G.
",carrefour,3.99,3.99
101,"Leche Condensada Desnatada Nestlé La Lechera 387 G.
",carrefour,2.95,2.95
102,"Leche Condensada Desnatada Nestlé La Lechera Sin Lactosa 387 G.
",carrefour,3.05,3.05
103,"Leche Condensada Desnatada Nestlé La Lechera Sin Lactosa 450 G.
",carrefour,4.45,4.45
104,"Leche Condensada Nestlé La Lechera 450 G.
",carrefour,3.85,3.85
105,"Leche Condensada Nestlé La Lechera 740 G.
",carrefour,4.29,4.29
106,"Leche Condensada Président 450 G 
",carrefour,3.85,3.85
107,"Leche Corporal Bajo La Ducha Hidratante Para Pieles Normales Y Secas Soft Carrefour 400 Ml.
",carrefour,3.15,3.15
108,"Leche Corporal Hidratante Con Aguacate Hydra Bebé Mustela 500 Ml.
",carrefour,14.49,14.49
109,"Leche Corporal Nutrición Intensa Aceite De Almendras Dulces Pieles Secas Babaria 400 Ml. 
",carrefour,2.59,2.59
110,"Leche De Cabra Bio Caprea 2 (Desde 6 Meses) Babybio 800 Gr
",carrefour,22.77,22.77
111,"Leche De Cabra Bio Caprea 3 (Desde 10 Meses) Babybio 800 G
",carrefour,46.3,46.3
112,"Leche De Continuación Desde Los 6 Meses Protech 2 Optimum Blemil 800 G.
",carrefour,24.56,24.56
113,"Leche De Crecimiento Hipp Combiotik 3 800 G.
",carrefour,24.0,24.0
114,"Leche De Fibra Baja En Grasa Puleva, Brik 1 Litro",eroski,1.65,1.65
115,"Leche De Inicio Blemil Plus 1 Forte 1200 G.
",carrefour,33.3,33.3
116,"Leche Desmaquillante Carrefour Soft 400 Ml.
",carrefour,3.39,3.39
117,"Leche Desmaquillante Suave Con Extracto De Alga Para Todo Tipo De Pieles Ecológica Nectar Of Bio 200 Ml.
",carrefour,2.99,2.99
118,Leche Desnatada Calcio Pascual Movit Brik 1 L,dia,1.76,1.76
119,Leche Desnatada Calcio Pascual Movit Brik 6 X 1 L,dia,10.56,10.56
120,Leche Desnatada Omega 3 Dia Láctea Brik 1 L,dia,1.1,1.1
121,"Leche En Polvo Desnatada Central Lechera Asturiana 800 G.
",carrefour,8.15,8.15
122,"Leche En Polvo Desnatada Sveltesse Nestlé 1 Kg.
",carrefour,13.09,13.09
123,"Leche Evaporada 4% Materia Grasa Ideal Nestlé 525 G.
",carrefour,2.39,2.39
124,"Leche Evaporada 4% Materia Grasa Ideal Nestlé Sin Lactosa 525 G.
",carrefour,3.09,3.09
125,"Leche Evaporada Ideal Nestlé Pack De 10 Unidades De 7,5 G.
",carrefour,1.58,1.58
126,"Leche Evaporada Para Cocinar -40% Grasas Ideal Nestlé Pack De 2 Briks De 210 G.
",carrefour,2.85,2.85
127,"Leche Fermentada Desnatada Con Arándanos Alta En Proteínas Danone Yopro Sin Gluten Y Sin Azúcar Añadido Pack De 2 Unidades De 160 G.
",carrefour,2.09,2.09
128,"Leche Fermentada Desnatada Con Fresa +Proteína Danone 265 Ml.
",carrefour,1.0,1.0
129,"Leche Fermentada Desnatada Con Mango Y Maracuyá Danone 265 Ml.
",carrefour,1.0,1.0
130,"Leche Fermentada Desnatada Edulcorado Natural Danone Vitalinea Densia Pack De 4 Unidades De 120 G.
",carrefour,2.19,2.19
131,"Leche Fermentada Desnatada Natural Edulcorado Sin Azúcar Añadido Danone Vitalinea Pack De 4 Unidades De 120 G.
",carrefour,2.05,2.05
132,"Leche Fermentada Desnatada Natural Sin Azúcar Añadido Danone Vitalinea Pack De 4 Unidades De 120 G.
",carrefour,2.05,2.05
133,"Leche Fermentada Lactebal, Bolsa 1 Litro",eroski,1.49,1.49
134,"Leche Fermentada Líquida Con Fresa Danone - Actimel Sin Gluten Pack De 6 Unidades De 100 G.
",carrefour,3.85,3.85
135,"Leche Fermentada Líquida Desnatada Natural Sin Azúcar Añadido Danone - Actimel Sin Gluten Pack De 6 Unidades De 100 G.
",carrefour,3.85,3.85
136,"Leche Fermentada Líquida Multifrutas Danone - Actimel Sin Gluten Pack De 6 Unidades De 100 G.
",carrefour,3.85,3.85
137,"Leche Fermentada Líquida Natural Danone Danacol Sin Gluten Y Sin Azúcar Añadido Pack De 14 Unidades De 100 G.
",carrefour,8.05,8.05
138,"Leche Fermentada Líquida Natural Danone Danacol Sin Gluten Y Sin Azúcar Añadido Pack De 6 Unidades De 100 G.
",carrefour,4.59,4.59
139,"Leche Fermentada Líquida Sabor Fresa Y Plátano Danone - Actimel Kids Sin Gluten Pack De 6 Unidades De 100 G.
",carrefour,3.85,3.85
140,"Leche Fresca Eco Semidesnatada Puleva, Botella 1 Litro",eroski,1.85,1.85
141,"Leche Hidratante Corporal Original Denenes 400 Ml.
",carrefour,9.99,9.99
142,"Leche Infantl Antiregurgitación Desde El Primer Día Blemil Plus 800 G.
",carrefour,27.1,27.1
143,"Leche Para Lactantes Desde El Primer Día En Polvo Almirón Profutura 1 Bote De 800 G.
",carrefour,23.74,23.74
144,"Leche Protectora Solar Fp50+ Protección Piel Sensible Babies & Kids Sensitive Nivea Sun 200 Ml.
",carrefour,16.45,16.45
145,"Leche Protectora Solar Niños Pieles Sensibles Atópicas Spf50+ Ecran Denenes 270 Ml.
",carrefour,15.89,15.89
146,"Leche Protectora Solar Spf50 Broncea+ Ecran Sunnique 270 Ml.
",carrefour,17.69,17.69
147,"Leche Semidesnatada  Naturfibra Asturiana, Brik 1 Litro",eroski,1.59,1.59
148,Leche Semidesnatada Calcio Pascual Movit Brik 1 L,dia,1.76,1.76
149,Leche Semidesnatada Calcio Pascual Movit Brik 6 X 1 L,dia,10.56,10.56
150,"Leche Semidesnatada Central Lechera Asturiana Brik 500 Ml.
",carrefour,0.72,0.72
151,Leche Semidesnatada Fibra Central Lechera Asturiana Brik 1 L,dia,1.59,1.59
152,"Leche Semidesnatada Fresca Ecológica Carrefour Botella 1 L.
",carrefour,1.7,1.7
153,"Leche Solar Activadora Del Bronceado Fp 30 Protege & Broncea Nivea Sun 200 Ml.
",carrefour,15.89,15.89
154,"Leche Solar Fp30 Protege & Hidrata Nivea Sun 200 Ml.
",carrefour,13.89,13.89
155,"Leche Solar Proctectora Pieles Intolerantes Al Sol Fp 50+ Delial 400 Ml.
",carrefour,15.89,15.89
156,Madriz Leche Desnatada Brik 1 L,hipercor,1.31,1.31
157,Madriz Leche Entera Brik 1 L,hipercor,1.31,1.31
158,Madriz Leche Semidesnatada Brik 1 L,hipercor,1.31,1.31
159,Maestros De Hojiblanca Oda Nº 7 Aceite De Oliva Virgen Extra  Botella De 500 Ml.,alcampo,7.56,7.56
160,Marqués De Griñón Aceite De Oliva Virgen Extra Duo (Arbequina-Picual) Botella 500 Ml.,alcampo,9.81,9.81
